Round,Player ID,Player Name,Position,Team ID,Team Name,Short Name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,yellow_cards,red_cards,bonus,penalties_saved,penalties_missed,saves,value
39,1,Mustafi,2,1,Arsenal,ARS,1,90,0,0,0,2,0,0,0,0,0,0,0,51
40,1,Mustafi,2,1,Arsenal,ARS,5,90,0,0,1,0,0,1,0,0,0,0,0,51
41,1,Mustafi,2,1,Arsenal,ARS,1,45,0,0,0,0,0,0,0,0,0,0,0,51
42,1,Mustafi,2,1,Arsenal,ARS,7,90,0,0,1,0,0,0,0,1,0,0,0,51
43,1,Mustafi,2,1,Arsenal,ARS,1,90,0,0,0,1,0,1,0,0,0,0,0,51
44,1,Mustafi,2,1,Arsenal,ARS,1,90,0,0,0,2,0,0,0,0,0,0,0,51
45,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,51
46,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,51
47,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,51
1,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,55
2,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,55
3,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,55
4,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,55
5,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
6,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
7,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
8,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
9,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
10,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
11,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
12,2,Bellerín,2,1,Arsenal,ARS,0,90,0,0,0,2,0,1,0,0,0,0,0,54
13,2,Bellerín,2,1,Arsenal,ARS,1,82,0,0,0,2,0,0,0,0,0,0,0,54
14,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
15,2,Bellerín,2,1,Arsenal,ARS,0,90,0,0,0,2,0,1,0,0,0,0,0,54
16,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
17,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
18,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
19,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
20,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
21,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
22,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
23,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
24,2,Bellerín,2,1,Arsenal,ARS,8,90,1,0,0,2,0,0,0,1,0,0,0,54
25,2,Bellerín,2,1,Arsenal,ARS,8,90,0,0,1,0,0,0,0,2,0,0,0,54
26,2,Bellerín,2,1,Arsenal,ARS,6,90,0,0,1,0,0,0,0,0,0,0,0,54
27,2,Bellerín,2,1,Arsenal,ARS,1,90,0,0,0,2,0,0,0,0,0,0,0,54
29,2,Bellerín,2,1,Arsenal,ARS,1,1,0,0,0,0,0,0,0,0,0,0,0,54
39,2,Bellerín,2,1,Arsenal,ARS,1,90,0,0,0,3,0,0,0,0,0,0,0,55
39,2,Bellerín,2,1,Arsenal,ARS,1,90,0,0,0,2,0,0,0,0,0,0,0,55
40,2,Bellerín,2,1,Arsenal,ARS,6,90,0,0,1,0,0,0,0,0,0,0,0,55
41,2,Bellerín,2,1,Arsenal,ARS,7,76,0,0,1,0,0,0,0,1,0,0,0,54
42,2,Bellerín,2,1,Arsenal,ARS,1,14,0,0,0,0,0,0,0,0,0,0,0,54
43,2,Bellerín,2,1,Arsenal,ARS,2,90,0,0,0,1,0,0,0,0,0,0,0,53
44,2,Bellerín,2,1,Arsenal,ARS,1,83,0,0,0,2,0,0,0,0,0,0,0,53
45,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,53
46,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
47,2,Bellerín,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
1,3,Kolasinac,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,55
2,3,Kolasinac,2,1,Arsenal,ARS,1,19,0,0,0,0,0,0,0,0,0,0,0,55
3,3,Kolasinac,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
4,3,Kolasinac,2,1,Arsenal,ARS,1,90,0,0,0,2,0,0,0,0,0,0,0,54
5,3,Kolasinac,2,1,Arsenal,ARS,3,90,0,1,0,2,0,1,0,0,0,0,0,54
6,3,Kolasinac,2,1,Arsenal,ARS,1,90,0,0,0,2,0,0,0,0,0,0,0,54
7,3,Kolasinac,2,1,Arsenal,ARS,2,90,0,0,0,1,0,0,0,0,0,0,0,54
8,3,Kolasinac,2,1,Arsenal,ARS,7,90,0,0,1,0,0,0,0,1,0,0,0,54
9,3,Kolasinac,2,1,Arsenal,ARS,1,90,0,0,0,1,0,1,0,0,0,0,0,54
10,3,Kolasinac,2,1,Arsenal,ARS,1,15,0,0,0,0,0,0,0,0,0,0,0,54
11,3,Kolasinac,2,1,Arsenal,ARS,1,3,0,0,0,0,0,0,0,0,0,0,0,54
12,3,Kolasinac,2,1,Arsenal,ARS,1,90,0,0,0,2,0,0,0,0,0,0,0,54
13,3,Kolasinac,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,53
14,3,Kolasinac,2,1,Arsenal,ARS,1,90,0,0,0,2,0,0,0,0,0,0,0,53
15,3,Kolasinac,2,1,Arsenal,ARS,2,71,0,0,0,1,0,0,0,0,0,0,0,53
16,3,Kolasinac,2,1,Arsenal,ARS,5,61,0,1,0,1,0,0,0,0,0,0,0,52
17,3,Kolasinac,2,1,Arsenal,ARS,0,39,0,0,0,3,0,0,0,0,0,0,0,52
18,3,Kolasinac,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
19,3,Kolasinac,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
20,3,Kolasinac,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
21,3,Kolasinac,2,1,Arsenal,ARS,5,68,0,0,1,0,0,1,0,0,0,0,0,52
22,3,Kolasinac,2,1,Arsenal,ARS,2,90,0,0,0,1,0,0,0,0,0,0,0,52
23,3,Kolasinac,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
24,3,Kolasinac,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
25,3,Kolasinac,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
26,3,Kolasinac,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
27,3,Kolasinac,2,1,Arsenal,ARS,1,17,0,0,0,1,0,0,0,0,0,0,0,52
29,3,Kolasinac,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
39,3,Kolasinac,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
39,3,Kolasinac,2,1,Arsenal,ARS,1,90,0,0,0,2,0,0,0,0,0,0,0,52
40,3,Kolasinac,2,1,Arsenal,ARS,1,20,0,0,0,0,0,0,0,0,0,0,0,52
41,3,Kolasinac,2,1,Arsenal,ARS,6,90,0,0,1,0,0,0,0,0,0,0,0,52
42,3,Kolasinac,2,1,Arsenal,ARS,6,90,0,0,1,0,0,0,0,0,0,0,0,52
43,3,Kolasinac,2,1,Arsenal,ARS,2,90,0,0,0,1,0,0,0,0,0,0,0,52
44,3,Kolasinac,2,1,Arsenal,ARS,1,83,0,0,0,2,0,0,0,0,0,0,0,52
45,3,Kolasinac,2,1,Arsenal,ARS,1,5,0,0,0,0,0,0,0,0,0,0,0,52
46,3,Kolasinac,2,1,Arsenal,ARS,1,90,0,0,0,1,0,1,0,0,0,0,0,52
47,3,Kolasinac,2,1,Arsenal,ARS,1,33,0,0,0,1,0,0,0,0,0,0,0,52
1,4,Maitland-Niles,2,1,Arsenal,ARS,12,90,0,1,1,0,0,0,0,3,0,0,0,50
2,4,Maitland-Niles,2,1,Arsenal,ARS,2,90,0,0,0,1,0,0,0,0,0,0,0,50
3,4,Maitland-Niles,2,1,Arsenal,ARS,1,90,0,0,0,3,0,0,0,0,0,0,0,50
4,4,Maitland-Niles,2,1,Arsenal,ARS,1,90,0,0,0,2,0,0,0,0,0,0,0,51
5,4,Maitland-Niles,2,1,Arsenal,ARS,4,90,0,1,0,2,0,0,0,0,0,0,0,51
6,4,Maitland-Niles,2,1,Arsenal,ARS,-3,40,0,0,0,2,0,0,1,0,0,0,0,51
7,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,51
8,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
9,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
10,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,49
11,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,48
12,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,48
13,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,47
14,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,47
15,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,47
16,4,Maitland-Niles,2,1,Arsenal,ARS,2,90,0,0,0,1,0,0,0,0,0,0,0,46
17,4,Maitland-Niles,2,1,Arsenal,ARS,1,90,0,0,0,3,0,0,0,0,0,0,0,46
18,4,Maitland-Niles,2,1,Arsenal,ARS,6,90,0,0,1,0,0,0,0,0,0,0,0,46
19,4,Maitland-Niles,2,1,Arsenal,ARS,1,90,0,0,0,1,0,1,0,0,0,0,0,46
20,4,Maitland-Niles,2,1,Arsenal,ARS,0,90,0,0,0,2,0,1,0,0,0,0,0,46
21,4,Maitland-Niles,2,1,Arsenal,ARS,6,90,0,0,1,0,0,0,0,0,0,0,0,46
22,4,Maitland-Niles,2,1,Arsenal,ARS,1,90,0,0,0,1,0,1,0,0,0,0,0,46
23,4,Maitland-Niles,2,1,Arsenal,ARS,2,90,0,0,0,1,0,0,0,0,0,0,0,46
24,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,46
25,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,46
26,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,46
27,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,46
29,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,45
39,4,Maitland-Niles,2,1,Arsenal,ARS,1,23,0,0,0,1,0,0,0,0,0,0,0,45
39,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,45
40,4,Maitland-Niles,2,1,Arsenal,ARS,1,10,0,0,0,0,0,0,0,0,0,0,0,45
41,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,45
42,4,Maitland-Niles,2,1,Arsenal,ARS,0,34,0,0,0,0,0,1,0,0,0,0,0,45
43,4,Maitland-Niles,2,1,Arsenal,ARS,1,1,0,0,0,0,0,0,0,0,0,0,0,45
44,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,45
45,4,Maitland-Niles,2,1,Arsenal,ARS,1,14,0,0,0,0,0,0,0,0,0,0,0,45
46,4,Maitland-Niles,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,45
47,4,Maitland-Niles,2,1,Arsenal,ARS,1,90,0,0,0,2,0,0,0,0,0,0,0,45
1,5,Sokratis,2,1,Arsenal,ARS,8,90,0,0,1,0,0,0,0,2,0,0,0,50
2,5,Sokratis,2,1,Arsenal,ARS,2,90,0,0,0,1,0,0,0,0,0,0,0,50
3,5,Sokratis,2,1,Arsenal,ARS,1,90,0,0,0,3,0,0,0,0,0,0,0,50
4,5,Sokratis,2,1,Arsenal,ARS,0,90,0,0,0,2,0,1,0,0,0,0,0,50
5,5,Sokratis,2,1,Arsenal,ARS,1,90,0,0,0,2,0,0,0,0,0,0,0,50
6,5,Sokratis,2,1,Arsenal,ARS,1,90,0,0,0,2,0,0,0,0,0,0,0,50
7,5,Sokratis,2,1,Arsenal,ARS,2,90,0,0,0,1,0,0,0,0,0,0,0,50
8,5,Sokratis,2,1,Arsenal,ARS,6,90,0,0,1,0,0,0,0,0,0,0,0,50
9,5,Sokratis,2,1,Arsenal,ARS,1,90,0,0,0,1,0,1,0,0,0,0,0,50
10,5,Sokratis,2,1,Arsenal,ARS,7,90,1,0,0,2,0,0,0,0,0,0,0,50
11,5,Sokratis,2,1,Arsenal,ARS,2,90,0,0,0,1,0,0,0,0,0,0,0,50
12,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
13,5,Sokratis,2,1,Arsenal,ARS,0,90,0,0,0,2,0,1,0,0,0,0,0,50
14,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
15,5,Sokratis,2,1,Arsenal,ARS,0,90,0,0,0,2,0,1,0,0,0,0,0,50
16,5,Sokratis,2,1,Arsenal,ARS,2,90,0,0,0,1,0,0,0,0,0,0,0,49
17,5,Sokratis,2,1,Arsenal,ARS,0,90,0,0,0,3,0,1,0,0,0,0,0,49
18,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,49
19,5,Sokratis,2,1,Arsenal,ARS,2,76,0,0,0,1,0,0,0,0,0,0,0,49
20,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,49
21,5,Sokratis,2,1,Arsenal,ARS,15,90,1,0,1,0,0,0,0,3,0,0,0,49
22,5,Sokratis,2,1,Arsenal,ARS,2,90,0,0,0,1,0,0,0,0,0,0,0,49
23,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,49
24,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,49
25,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,49
26,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,49
27,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,49
29,5,Sokratis,2,1,Arsenal,ARS,5,90,0,0,1,0,0,1,0,0,0,0,0,48
39,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,48
39,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,48
40,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,48
41,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,48
42,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,48
43,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,48
44,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,48
45,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,48
46,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,48
47,5,Sokratis,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,48
1,6,Monreal,2,1,Arsenal,ARS,7,90,0,0,1,0,0,0,0,1,0,0,0,50
2,6,Monreal,2,1,Arsenal,ARS,2,90,0,0,0,1,0,0,0,0,0,0,0,50
3,6,Monreal,2,1,Arsenal,ARS,1,90,0,0,0,3,0,0,0,0,0,0,0,50
4,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
5,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
6,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
7,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
8,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
9,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
10,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
11,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
12,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
13,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
14,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
15,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
16,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
17,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
18,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
19,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
20,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
21,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
22,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
23,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
24,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
25,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
26,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
27,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
29,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
39,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
39,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
40,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
41,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
42,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
43,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
44,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
45,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
46,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
47,6,Monreal,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
1,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
3,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
4,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
5,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
6,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
7,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
8,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
9,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
10,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
11,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
12,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
13,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
14,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
15,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
16,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
17,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
18,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
19,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
20,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
21,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
22,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
23,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
24,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
25,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
26,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
27,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
29,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
39,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
39,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
40,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
41,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
42,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
43,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
44,7,Koscielny,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,50
