Pos,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
M,Pröpper,5.0,5.0,Brighton,57,1.769,59,2.028,61,1.873,60,1.95,61,2.081,58,2.095,58,1.793,59,2.123
M,Mooy,5.0,5.0,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Burn,4.5,4.5,Brighton,77,1.826,74,2.746,70,1.793,71,2.249,71,2.736,71,2.848,68,1.721,70,2.979
D,Dunk,5.0,5.0,Brighton,86,2.141,83,3.337,83,2.195,81,2.697,79,3.248,79,3.475,78,2.046,77,3.524
D,Montoya,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Andone,5.0,5.0,Brighton,3,0.148,4,0.224,5,0.236,5,0.254,6,0.326,4,0.252,6,0.28,7,0.416
M,March,5.0,5.0,Brighton,24,0.971,25,1.132,28,1.114,27,1.138,26,1.167,29,1.431,29,1.149,25,1.212
D,Webster,4.5,4.5,Brighton,65,1.615,65,2.54,65,1.729,64,2.112,66,2.638,62,2.59,63,1.666,63,2.762
D,Veltman,4.5,4.5,Brighton,65,1.48,68,2.43,65,1.6,66,2.034,65,2.392,63,2.401,66,1.615,63,2.537
F,Maupay,6.5,6.5,Brighton,76,3.374,73,3.756,71,3.077,74,3.492,70,3.557,73,4.308,66,2.901,67,3.815
M,Trossard,6.0,6.0,Brighton,59,2.324,62,2.809,59,2.304,58,2.446,55,2.483,58,2.964,55,2.152,58,2.871
G,Ryan,4.5,4.5,Brighton,90,3.322,89,3.924,88,3.382,87,3.601,87,3.884,86,3.828,87,3.343,87,4.009
M,Jahanbakhsh,5.5,5.5,Brighton,12,0.48,12,0.533,12,0.476,13,0.545,14,0.619,14,0.69,14,0.556,17,0.822
M,Izquierdo,5.5,5.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Clarke,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,White,4.5,4.5,Brighton,4,0.103,7,0.268,8,0.216,11,0.363,9,0.354,11,0.45,12,0.321,12,0.514
D,Bernardo,4.0,4.0,Brighton,2,0.055,5,0.205,5,0.143,5,0.174,6,0.25,7,0.308,9,0.254,8,0.365
M,Bissouma,4.5,4.5,Brighton,66,1.959,64,2.149,63,1.893,63,2.002,64,2.146,64,2.288,64,1.913,61,2.183
D,Lamptey,4.5,4.5,Brighton,35,0.856,37,1.409,35,0.918,33,1.073,38,1.49,37,1.523,33,0.858,37,1.603
F,Connolly,5.5,5.5,Brighton,45,1.951,46,2.245,45,1.907,46,2.088,44,2.119,43,2.369,47,1.98,43,2.277
M,Alzate,4.5,4.5,Brighton,16,0.549,14,0.537,19,0.663,21,0.754,19,0.704,19,0.775,20,0.697,20,0.783
M,Mac Allister,5.5,5.5,Brighton,33,1.187,31,1.238,32,1.15,33,1.245,33,1.309,31,1.332,33,1.186,33,1.4
D,Tarkowski,5.5,5.5,Burnley,0,0,81,2.203,80,2.867,82,2.984,78,2.67,78,2.198,75,1.769,77,2.514
D,Bardsley,4.5,4.5,Burnley,0,0,68,1.627,70,2.237,67,2.171,63,1.917,67,1.669,65,1.335,66,1.92
D,Pieters,4.5,4.5,Burnley,0,0,69,1.909,70,2.559,66,2.436,69,2.404,69,1.978,68,1.634,67,2.221
M,Cork,5.0,5.0,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Long,4.5,4.5,Burnley,0,0,18,0.489,24,0.837,24,0.843,25,0.828,27,0.755,29,0.686,29,0.923
F,Rodriguez,6.0,6.0,Burnley,0,0,55,2.295,55,2.65,54,2.516,55,2.67,56,2.396,56,2.282,54,2.411
F,Barnes,6.0,6.0,Burnley,0,0,42,1.886,46,2.274,45,2.255,44,2.16,46,2.007,44,1.813,43,1.928
D,Mee,5.0,5.0,Burnley,0,0,79,2.126,74,2.623,72,2.592,74,2.505,73,2.038,71,1.659,70,2.263
M,Westwood,5.5,5.5,Burnley,0,0,84,2.454,83,2.707,82,2.628,77,2.526,79,2.385,77,2.251,75,2.369
M,Gudmundsson,5.5,5.5,Burnley,0,0,19,0.761,18,0.803,24,1.031,24,1.06,24,0.969,25,0.968,29,1.208
F,Wood,6.5,6.5,Burnley,0,0,65,2.906,60,3.163,61,3.073,62,3.256,61,2.811,57,2.517,62,3.009
D,Lowton,4.5,4.5,Burnley,0,0,22,0.587,19,0.653,23,0.803,28,0.922,25,0.688,27,0.626,25,0.789
F,Vydra,5.0,5.0,Burnley,0,0,11,0.527,13,0.711,12,0.633,12,0.661,13,0.633,16,0.743,14,0.715
D,Gibson,4.0,4.0,Burnley,0,0,2,0.054,3,0.102,2,0.069,5,0.163,5,0.138,7,0.164,6,0.188
M,Brady,5.0,5.0,Burnley,0,0,26,1.009,30,1.283,32,1.331,34,1.453,31,1.215,32,1.203,34,1.379
G,Pope,5.5,5.5,Burnley,0,0,89,3.462,88,3.779,88,3.796,88,3.675,86,3.366,87,3.252,87,3.585
D,Taylor,4.5,4.5,Burnley,0,0,84,2.211,83,2.848,83,2.902,80,2.62,77,2.097,77,1.753,78,2.454
M,Brownhill,5.0,5.0,Burnley,0,0,81,2.148,80,2.299,78,2.242,77,2.214,76,2.063,78,2.03,76,2.136
G,Peacock-Farrell,4.0,4.0,Burnley,0,0,0,0,2,0.084,1,0.042,2,0.082,3,0.116,3,0.111,3,0.121
M,McNeil,6.0,6.0,Burnley,0,0,82,2.764,78,2.946,78,2.888,76,2.876,78,2.699,75,2.497,72,2.613
G,Caballero,5.0,5.0,Chelsea,3,0.131,5,0.191,3,0.136,4,0.196,5,0.23,4,0.157,5,0.233,7,0.337
D,Azpilicueta,6.0,6.0,Chelsea,80,3.695,80,2.508,78,3.893,78,4.396,79,4.048,75,2.497,75,3.872,73,3.946
F,Giroud,7.0,7.0,Chelsea,12,0.782,9,0.507,10,0.713,12,0.849,13,0.922,11,0.612,11,0.754,12,0.823
D,Alonso,6.0,6.0,Chelsea,63,3.185,62,2.084,63,3.485,63,3.906,60,3.393,64,2.253,61,3.449,62,3.684
M,Jorginho,5.0,5.0,Chelsea,67,2.741,54,1.91,51,2.311,51,2.4,50,2.277,47,1.663,55,2.433,49,2.226
M,Barkley,6.0,6.0,Chelsea,30,1.575,16,0.729,16,0.972,16,0.968,15,0.895,18,0.793,21,1.188,18,1.045
M,Kovacic,5.5,5.5,Chelsea,0,0,51,1.653,51,2.005,48,1.964,50,1.985,49,1.592,47,1.845,47,1.875
F,Batshuayi,6.0,6.0,Chelsea,5,0.289,2,0.101,1,0.063,2,0.127,2,0.125,3,0.148,3,0.18,4,0.24
D,Rüdiger,5.0,5.0,Chelsea,72,3.093,73,2.118,73,3.416,68,3.626,73,3.517,70,2.164,70,3.4,69,3.53
D,Zouma,5.0,5.0,Chelsea,75,3.142,75,2.15,75,3.389,75,3.848,73,3.394,70,2.142,71,3.327,71,3.499
D,Emerson,5.0,5.0,Chelsea,3,0.143,4,0.129,5,0.257,7,0.4,9,0.476,8,0.281,9,0.472,11,0.602
G,Arrizabalaga,5.0,5.0,Chelsea,86,3.702,84,3.151,86,3.85,85,4.122,84,3.817,85,3.279,84,3.864,82,3.894
M,Kanté,5.0,5.0,Chelsea,80,2.96,67,2.201,67,2.719,69,2.893,67,2.729,66,2.167,61,2.464,64,2.615
M,Ziyech,8.0,8.0,Chelsea,53,2.982,69,3.159,65,3.93,67,4.102,68,4.074,65,2.965,64,3.731,64,3.77
M,Loftus-Cheek,6.0,6.0,Chelsea,28,1.319,15,0.624,16,0.808,13,0.668,14,0.704,19,0.78,15,0.74,14,0.699
D,Christensen,5.0,5.0,Chelsea,34,1.383,32,0.901,35,1.528,38,1.877,37,1.664,40,1.196,40,1.813,37,1.767
F,Werner,9.5,9.5,Chelsea,76,5.097,74,4.13,71,5.268,68,5.046,66,4.875,71,3.872,69,4.87,67,4.755
F,Abraham,7.5,7.5,Chelsea,12,0.794,10,0.576,11,0.789,12,0.869,13,0.937,11,0.612,13,0.898,14,0.973
M,Pulisic,8.5,8.5,Chelsea,26,1.62,47,2.388,62,4.119,64,4.355,63,4.181,60,2.97,59,3.803,60,3.908
M,Mount,7.0,7.0,Chelsea,62,3.038,52,2.181,52,2.801,49,2.731,49,2.645,48,2.002,47,2.477,46,2.453
D,Tomori,5.0,5.0,Chelsea,1,0.044,2,0.062,3,0.142,4,0.214,4,0.195,5,0.163,7,0.344,8,0.413
M,Hudson-Odoi,6.0,6.0,Chelsea,43,2.384,25,1.193,19,1.175,19,1.19,17,1.046,20,0.953,22,1.313,22,1.314
D,James,5.0,5.0,Chelsea,68,3.543,71,2.476,66,3.75,65,4.135,70,4.043,70,2.578,69,4.014,70,4.251
M,Gilmour,4.5,4.5,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.241
D,Cahill,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Hennessey,4.5,4.5,Crystal Palace,0,0,2,0.072,1,0.042,2,0.072,3,0.13,4,0.175,4,0.157,5,0.215
D,Sakho,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Guaita,5.0,5.0,Crystal Palace,90,3.716,88,3.202,88,3.761,88,3.189,87,3.78,87,3.826,88,3.468,87,3.757
D,Tomkins,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,McArthur,5.5,5.5,Crystal Palace,73,2.485,72,2.082,72,2.42,73,2.113,70,2.439,69,2.45,71,2.182,70,2.437
M,McCarthy,4.5,4.5,Crystal Palace,65,2.117,65,1.833,67,2.172,66,1.86,65,2.159,62,2.118,65,1.935,63,2.102
F,Benteke,5.5,5.5,Crystal Palace,43,2.166,42,1.663,46,2.197,45,1.785,43,2.137,45,2.354,44,1.808,48,2.42
M,Kouyaté,5.0,5.0,Crystal Palace,81,2.547,78,2.142,78,2.455,75,2.086,73,2.386,74,2.457,73,2.15,73,2.386
D,Ward,4.5,4.5,Crystal Palace,86,2.897,84,1.76,81,2.85,82,1.677,82,3.043,78,2.952,80,2.297,77,2.782
D,Kelly,4.5,4.5,Crystal Palace,77,2.589,76,1.569,77,2.7,76,1.527,74,2.728,74,2.79,75,2.131,73,2.609
F,Wickham,4.5,4.5,Crystal Palace,29,1.551,28,1.173,29,1.476,27,1.156,29,1.534,31,1.72,34,1.484,29,1.578
M,Townsend,6.0,6.0,Crystal Palace,59,2.571,56,1.991,59,2.494,59,2.121,56,2.475,57,2.565,56,2.132,54,2.4
M,Milivojevic,6.0,6.0,Crystal Palace,55,2.074,57,1.759,55,2.035,55,1.721,58,2.21,58,2.278,54,1.786,58,2.227
D,van Aanholt,5.5,5.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Ayew,6.0,6.0,Crystal Palace,69,2.937,66,2.236,65,2.635,64,2.217,66,2.801,63,2.82,65,2.326,62,2.71
M,Zaha,7.0,7.0,Crystal Palace,78,3.254,79,2.604,75,3.05,77,2.586,73,3.089,76,3.361,73,2.624,73,3.146
M,Schlupp,5.5,5.5,Crystal Palace,49,1.958,52,1.738,52,2.041,54,1.814,55,2.217,52,2.201,51,1.813,56,2.285
M,Meyer,5.0,5.0,Crystal Palace,4,0.161,5,0.173,5,0.197,7,0.248,9,0.361,9,0.37,9,0.331,9,0.367
M,Riedewald,4.5,4.5,Crystal Palace,28,0.951,31,0.933,36,1.199,34,1.022,36,1.224,35,1.209,36,1.126,38,1.287
D,Ferguson,4.0,4.0,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Mitchell,4.0,4.0,Crystal Palace,78,2.494,77,1.487,74,2.472,73,1.373,76,2.671,75,2.687,76,2.047,71,2.403
M,Pierrick,4.5,4.5,Crystal Palace,4,0.152,5,0.168,6,0.225,7,0.236,8,0.307,9,0.353,9,0.314,12,0.463
M,Walcott,6.0,6.0,Everton,48,1.871,42,2.077,43,1.923,43,1.999,44,1.644,47,2.025,43,1.938,45,1.768
M,Delph,5.0,5.0,Everton,34,0.975,39,1.247,39,1.202,43,1.335,42,1.141,40,1.19,40,1.229,41,1.158
M,Sigurdsson,7.0,7.0,Everton,58,2.474,54,3.04,55,2.744,55,2.839,53,2.15,53,2.559,57,2.881,56,2.371
G,Lössl,4.5,4.5,Everton,0,0,0,0,1,0.046,0,0,0,0,1,0.043,1,0.045,2,0.079
D,Coleman,5.0,5.0,Everton,83,2.353,79,3.628,78,3.416,77,3.387,75,1.776,75,2.812,76,3.264,74,2.213
F,Tosun,6.0,6.0,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Bernard,6.0,6.0,Everton,27,1.047,28,1.354,32,1.388,29,1.315,30,1.102,33,1.379,29,1.28,32,1.229
D,Digne,6.0,6.0,Everton,86,2.664,83,4.258,82,3.95,80,3.894,81,2.094,79,3.305,77,3.643,79,2.579
D,Keane,5.0,5.0,Everton,78,2.187,77,3.491,75,3.255,73,3.181,75,1.752,73,2.687,72,3.067,71,2.102
G,Pickford,5.0,5.0,Everton,89,3.306,88,3.958,88,3.969,88,3.941,88,3.211,87,3.659,86,3.815,86,3.322
M,André Gomes,5.5,5.5,Everton,72,1.938,70,2.247,70,2.141,70,2.176,68,1.785,68,2.018,67,2.063,67,1.85
M,Iwobi,6.0,6.0,Everton,30,1.208,34,1.683,35,1.571,31,1.45,33,1.261,33,1.452,34,1.539,33,1.314
D,Kenny,4.5,4.5,Everton,3,0.086,7,0.313,8,0.343,8,0.344,11,0.265,10,0.37,11,0.464,13,0.388
M,Gbamin,5.0,5.0,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Mina,5.5,5.5,Everton,31,0.893,33,1.538,35,1.539,38,1.69,37,0.879,37,1.394,38,1.644,39,1.167
M,Davies,5.5,5.5,Everton,59,1.761,60,2.146,56,1.893,57,1.973,58,1.669,61,1.971,61,2.035,59,1.778
F,Calvert-Lewin,7.0,7.0,Everton,79,3.343,77,4.403,75,3.728,76,3.999,71,2.886,73,3.584,69,3.497,69,2.97
D,Holgate,5.0,5.0,Everton,80,2.156,80,3.55,79,3.363,78,3.326,76,1.692,77,2.742,76,3.162,74,2.104
F,Richarlison,8.0,8.0,Everton,81,3.085,76,3.809,76,3.312,74,3.432,75,2.736,71,3.107,74,3.285,72,2.774
G,Virgínia,4.5,4.5,Everton,0,0,0,0,0,0,1,0.045,1,0.037,1,0.042,1,0.045,1,0.039
M,Gordon,4.5,4.5,Everton,26,0.896,30,1.212,28,1.059,30,1.157,33,1.087,29,1.067,32,1.209,32,1.094
F,Kean,6.0,6.0,Everton,12,0.581,16,0.984,16,0.872,16,0.928,19,0.852,20,1.07,19,1.042,21,0.984
D,Branthwaite,4.0,4.0,Everton,4,0.112,5,0.217,6,0.251,9,0.378,8,0.188,10,0.36,11,0.452,10,0.291
G,Fabri,4.0,4.0,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,McDonald,5.0,5.0,Fulham,2,0.068,3,0.104,2,0.073,5,0.166,6,0.206,6,0.216,6,0.218,6,0.209
D,Le Marchand,4.5,4.5,Fulham,4,0.09,8,0.206,10,0.323,12,0.276,15,0.432,16,0.553,13,0.413,17,0.443
M,Johansen,5.0,5.0,Fulham,26,0.838,28,0.93,30,1.081,31,0.961,28,0.923,28,0.986,34,1.206,30,1.005
M,Cairney,5.5,5.5,Fulham,64,2.106,63,2.165,63,2.383,63,2.011,63,2.154,61,2.249,62,2.326,61,2.129
D,Ream,4.5,4.5,Fulham,84,1.829,82,2.098,80,2.599,79,1.817,78,2.276,76,2.667,77,2.458,76,1.986
M,Knockaert,5.5,5.5,Fulham,79,2.972,75,2.993,75,3.524,72,2.588,75,2.953,70,3.106,70,3.269,67,2.786
D,Hector,4.5,4.5,Fulham,76,1.635,76,1.929,74,2.414,71,1.601,72,2.073,71,2.486,73,2.337,72,1.872
D,Christie,4.5,4.5,Fulham,70,1.514,68,1.739,67,2.222,67,1.508,64,1.85,65,2.298,63,2.05,62,1.631
M,Kebano,5.0,5.0,Fulham,17,0.762,19,0.887,24,1.288,20,0.837,19,0.869,19,0.97,22,1.17,26,1.229
F,Decordova-Reid,5.5,5.5,Fulham,34,1.307,38,1.484,38,1.658,36,1.301,39,1.479,40,1.632,38,1.642,41,1.613
D,Bryan,5.0,5.0,Fulham,87,2.17,84,2.458,81,3.126,82,2.077,80,2.591,78,3.171,80,3,77,2.321
G,Bettinelli,4.5,4.5,Fulham,3,0.107,5,0.19,6,0.244,4,0.148,7,0.279,6,0.255,7,0.284,5,0.19
F,Mitrović,6.0,6.0,Fulham,79,3.433,74,3.451,75,4.123,74,2.936,71,3.161,73,3.671,69,3.754,69,3.34
D,Mawson,4.5,4.5,Fulham,17,0.387,18,0.476,23,0.762,26,0.614,25,0.741,28,0.995,26,0.846,26,0.699
G,Rodák,4.5,4.5,Fulham,86,3.066,84,3.188,83,3.375,85,3.148,82,3.262,82,3.474,81,3.277,83,3.148
M,Cavaleiro,5.5,5.5,Fulham,64,2.432,61,2.443,57,2.667,61,2.199,62,2.443,61,2.664,59,2.707,56,2.307
M,Onomah,5.0,5.0,Fulham,46,1.601,44,1.6,44,1.779,47,1.57,44,1.585,43,1.671,47,1.87,44,1.624
M,Seri,5.0,5.0,Fulham,63,2.003,62,2.054,61,2.225,57,1.781,58,1.923,62,2.201,58,2.103,58,1.961
M,Kamara,5.0,5.0,Fulham,12,0.532,14,0.649,13,0.708,16,0.656,15,0.676,17,0.864,18,0.965,20,0.943
M,Anguissa,4.5,4.5,Fulham,47,1.479,50,1.618,49,1.704,45,1.399,48,1.558,50,1.715,46,1.594,50,1.631
D,Sessegnon,4.5,4.5,Fulham,19,0.431,21,0.556,22,0.742,20,0.468,22,0.65,22,0.789,24,0.795,25,0.676
M,Hernández,6.0,6.0,Leeds,70,2.382,67,3.552,70,3.011,66,2.36,67,2.796,66,3.155,66,2.872,65,2.94
G,Casilla,4.5,4.5,Leeds,66,2.307,65,2.948,63,2.69,66,2.345,64,2.642,65,2.729,64,2.604,63,2.769
D,Cooper,4.5,4.5,Leeds,86,1.246,83,3.599,83,2.964,82,1.208,78,2.563,81,2.876,76,2.445,78,2.974
D,Douglas,4.0,4.0,Leeds,7,0.117,11,0.493,11,0.405,11,0.183,12,0.409,16,0.592,15,0.502,15,0.589
D,Ayling,4.5,4.5,Leeds,87,1.384,85,4.046,82,3.149,82,1.342,79,2.795,78,3.059,78,2.728,78,3.228
M,Klich,5.5,5.5,Leeds,65,1.947,63,2.722,63,2.308,64,1.983,62,2.215,62,2.438,64,2.342,62,2.341
M,Forshaw,5.0,5.0,Leeds,18,0.519,19,0.657,19,0.611,18,0.525,17,0.54,17,0.56,19,0.607,22,0.716
D,Dallas,4.5,4.5,Leeds,72,1.295,71,3.655,73,3.029,71,1.315,70,2.661,71,3.025,71,2.682,71,3.152
D,Alioski,4.5,4.5,Leeds,27,0.501,31,1.634,31,1.304,35,0.666,33,1.272,32,1.396,36,1.389,39,1.757
F,Bamford,5.5,5.5,Leeds,80,2.881,76,4.27,76,3.436,74,2.835,74,3.252,73,3.756,72,3.369,70,3.321
M,Harrison,5.5,5.5,Leeds,79,2.44,75,3.357,75,2.847,74,2.385,73,2.704,73,2.982,71,2.714,68,2.687
M,Phillips,5.0,5.0,Leeds,63,1.65,63,2.182,61,1.896,64,1.706,64,1.936,62,1.998,57,1.771,57,1.826
M,Costa,5.5,5.5,Leeds,79,2.455,76,3.599,76,2.965,74,2.416,74,2.809,73,3.131,70,2.773,71,2.893
